K,seed,avg_log_likelihood,cmse,precision,recall,f1,fpr
2,4,-166.6388845623388,0.015625,1.0,0.8,0.888888888888889,0.0
2,5,-166.68207636957757,0.015625,1.0,0.8,0.888888888888889,0.0
2,6,-166.67008030616628,0.015625,1.0,0.8,0.888888888888889,0.0
2,7,-166.61971058036448,0.015625,1.0,0.8,0.888888888888889,0.0
2,8,-166.69717110064454,0.015625,1.0,0.8,0.888888888888889,0.0
2,9,-166.6602735508418,0.015625,1.0,0.8,0.888888888888889,0.0
2,10,-166.6021142351449,0.015625,1.0,0.8,0.888888888888889,0.0
2,11,-166.5904239610391,0.015625,1.0,0.8,0.888888888888889,0.0
2,12,-166.58471369568332,0.0,1.0,1.0,1.0,0.0
2,13,-166.5961674255223,0.015625,1.0,0.8,0.888888888888889,0.0
2,14,-166.5988067732588,0.015625,1.0,0.8,0.888888888888889,0.0
2,15,-166.63714457652202,0.015625,1.0,0.8,0.888888888888889,0.0
2,16,-166.51165864609004,0.015625,1.0,0.8,0.888888888888889,0.0
2,17,-166.6211355138007,0.015625,1.0,0.8,0.888888888888889,0.0
2,18,-166.6253584377692,0.015625,1.0,0.8,0.888888888888889,0.0
2,19,-166.613306006953,0.015625,1.0,0.8,0.888888888888889,0.0
2,20,-166.69680956425714,0.015625,1.0,0.8,0.888888888888889,0.0
2,21,-166.61428074114528,0.015625,1.0,0.8,0.888888888888889,0.0
2,22,-166.65226486347396,0.015625,1.0,0.8,0.888888888888889,0.0
2,23,-166.68433890171028,0.015625,1.0,0.8,0.888888888888889,0.0
2,24,-166.66697916032666,0.015625,1.0,0.8,0.888888888888889,0.0
2,25,-166.6605656109741,0.015625,1.0,0.8,0.888888888888889,0.0
2,26,-166.62642442430243,0.015625,1.0,0.8,0.888888888888889,0.0
2,27,-166.6071467800666,0.015625,1.0,0.8,0.888888888888889,0.0
2,28,-166.67975656234464,0.015625,1.0,0.8,0.888888888888889,0.0
2,29,-166.65783743031741,0.015625,1.0,0.8,0.888888888888889,0.0
2,30,-166.66529046301685,0.015625,1.0,0.8,0.888888888888889,0.0
2,31,-166.63922862711647,0.015625,1.0,0.8,0.888888888888889,0.0
2,32,-166.7034531657908,0.015625,1.0,0.8,0.888888888888889,0.0
2,33,-166.61121178864443,0.015625,1.0,0.8,0.888888888888889,0.0
2,34,-166.68888892870982,0.015625,1.0,0.8,0.888888888888889,0.0
2,35,-166.60813849408078,0.015625,1.0,0.8,0.888888888888889,0.0
2,36,-166.58058282009114,0.015625,1.0,0.8,0.888888888888889,0.0
2,37,-166.66001676307587,0.015625,1.0,0.8,0.888888888888889,0.0
2,38,-166.67567249559147,0.015625,1.0,0.8,0.888888888888889,0.0
2,39,-166.6629427232068,0.015625,1.0,0.8,0.888888888888889,0.0
2,40,-166.64222488792123,0.015625,1.0,0.8,0.888888888888889,0.0
2,41,-166.61611793010937,0.015625,1.0,0.8,0.888888888888889,0.0
2,42,-166.66975073100545,0.015625,1.0,0.8,0.888888888888889,0.0
2,43,-166.6486967304365,0.015625,1.0,0.8,0.888888888888889,0.0
2,44,-166.66273315218697,0.015625,1.0,0.8,0.888888888888889,0.0
2,45,-166.64108764971132,0.015625,1.0,0.8,0.888888888888889,0.0
2,46,-166.701334872456,0.015625,1.0,0.8,0.888888888888889,0.0
2,47,-166.64168280925992,0.0,1.0,1.0,1.0,0.0
2,48,-166.70394594456982,0.015625,1.0,0.8,0.888888888888889,0.0
2,49,-166.7131101708254,0.015625,1.0,0.8,0.888888888888889,0.0
3,0,-166.6978404500367,0.015625,1.0,0.8,0.888888888888889,0.0
3,1,-166.57489183489184,0.015625,1.0,0.8,0.888888888888889,0.0
3,2,-166.64593680324933,0.015625,1.0,0.8,0.888888888888889,0.0
3,3,-166.68510141909059,0.015625,1.0,0.8,0.888888888888889,0.0
3,4,-166.70373059155517,0.015625,1.0,0.8,0.888888888888889,0.0
