em_iters,seed,runtime_sec,mse,precision,recall,f1,mcc,weight_cosine_sim_expert1_grass,weight_cosine_sim_expert2_rock,cluster_ari
6,4,2.2404510974884033,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7264994487633568,0.8655433161975832,0.18761295364626582
6,5,2.20206618309021,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7641986754525333,0.5944059902792663,0.4570561159533836
6,6,2.339235782623291,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8891892668465212,0.7486491938164367,0.3782427188031781
6,7,2.0605180263519287,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7510332134853533,0.738757683789166,0.4298989898989899
6,8,2.0795247554779053,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6659017109593725,0.7921927279007243,0.5134936572464123
6,9,2.1741409301757812,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6567767099692867,0.4238509540236779,0.484966194849866
6,10,2.4163520336151123,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9013248903926875,0.7833568537079469,0.5734638922888617
6,11,2.283010959625244,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9120404890606006,0.5449952398195959,0.4571358629130967
6,12,2.326245069503784,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6481375047654572,0.6938304943870277,0.6363324680413381
6,13,2.2146811485290527,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9388650846359058,0.6931051430231202,0.4847980212325664
6,14,2.1516149044036865,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.6670703575048255,0.749569732113248,0.40381884944920443
9,0,3.086743116378784,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8428788757984502,0.6564858983645885,0.5135571915963368
9,1,3.3150269985198975,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8078786937406925,0.8037939910476543,0.4302338386990199
9,2,3.122046947479248,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8764750237586869,0.8715780713062272,0.5733524869815048
9,3,3.1980350017547607,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7557336880553698,0.6241583140666658,0.48515105906537936
9,4,3.2602219581604004,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.812664687267777,0.8851266006093397,0.37885106955468856
9,5,3.188425302505493,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7850363094089698,0.6478032224122444,0.4570561159533836
9,6,3.4178969860076904,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8820946990584939,0.8093282850673172,0.3782427188031781
9,7,3.118023157119751,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7949978899575441,0.7667765063035095,0.4848148435363599
9,8,3.1106700897216797,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7684917642351871,0.8319070590475601,0.5134936572464123
9,9,3.275620937347412,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.757419141690488,0.629233108168171,0.6044056963032804
9,10,3.5438477993011475,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8963216257011913,0.8186267407157503,0.5734638922888617
9,11,3.3831491470336914,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9283915655143969,0.7005310070840366,0.5429855388345354
9,12,3.3633360862731934,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7765405549002263,0.7945429565527499,0.6363324680413381
9,13,3.328287124633789,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8893302966829606,0.800605354230333,0.4847980212325664
9,14,3.069438934326172,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7128352285841147,0.8571532308502349,0.4300292556338517
12,0,3.993637800216675,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8542010615522799,0.6734474349821594,0.5135571915963368
12,1,4.340085029602051,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8118566845961941,0.811402501225588,0.4302338386990199
12,2,4.0169947147369385,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8807762082644025,0.8688476515800473,0.5733524869815048
12,3,4.053585767745972,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.776468074352318,0.6671672156471768,0.5137714975687759
12,4,4.355211973190308,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8271146641759385,0.8825889044821865,0.18761295364626582
