state_id,state_key,action,action_idx,eligibility_infeasible,infeasible_rate,clinical_reason,inferred_probability,threshold_used,inferred_infeasible,match
18,12|2|2|4|0|0|0|1|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
18,12|2|2|4|0|0|0|1|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
18,12|2|2|4|0|0|0|1|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
18,12|2|2|4|0|0|0|1|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
19,18|2|2|4|0|0|0|1|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
19,18|2|2|4|0|0|0|1|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
19,18|2|2|4|0|0|0|1|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
19,18|2|2|4|0|0|0|1|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
20,24|2|2|4|0|0|0|1|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
20,24|2|2|4|0|0|0|1|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
20,24|2|2|4|0|0|0|1|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
20,24|2|2|4|0|0|0|1|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
21,0|2|1|2|0|0|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
21,0|2|1|2|0|0|1|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
21,0|2|1|2|0|0|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
21,0|2|1|2|0|0|1|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
22,6|2|1|3|0|0|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
22,6|2|1|3|0|0|1|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.6666666666666666,0.16,True,True
22,6|2|1|3|0|0|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
22,6|2|1|3|0|0|1|0|0,Surgery,3,True,1.0,not first-line month,0.6666666666666666,0.16,True,True
23,12|2|1|3|0|0|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
23,12|2|1|3|0|0|1|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
23,12|2|1|3|0|0|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
23,12|2|1|3|0|0|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
24,18|2|1|3|0|0|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
24,18|2|1|3|0|0|1|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
24,18|2|1|3|0|0|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
24,18|2|1|3|0|0|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
25,24|2|1|3|0|0|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
25,24|2|1|3|0|0|1|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
25,24|2|1|3|0|0|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
25,24|2|1|3|0|0|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
26,0|1|1|3|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
26,0|1|1|3|0|2|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
26,0|1|1|3|0|2|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
26,0|1|1|3|0|2|0|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
27,6|1|1|2|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
27,6|1|1|2|0|2|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
27,6|1|1|2|0|2|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
