state_id,action,eligibility_infeasible,inferred_infeasible,infeasible_rate,clinical_reason
94,Targeted,True,True,1.0,EGFR/ALK not eligible
94,Immuno,True,True,1.0,PD-L1 < 1%
94,Surgery,True,True,1.0,not first-line month
95,Targeted,True,True,1.0,EGFR/ALK not eligible
95,Immuno,True,True,1.0,PD-L1 < 1%
95,Surgery,True,True,1.0,not first-line month
96,Targeted,True,True,1.0,EGFR/ALK not eligible
96,Immuno,True,True,1.0,PD-L1 < 1%
96,Surgery,True,True,1.0,not first-line month
97,Targeted,True,True,1.0,EGFR/ALK not eligible
97,Immuno,True,True,1.0,PD-L1 < 1%
97,Surgery,True,True,1.0,not first-line month
98,Surgery,True,False,1.0,allowed
99,Surgery,True,True,1.0,not first-line month
100,Surgery,True,True,1.0,not first-line month
101,Surgery,True,True,1.0,not first-line month
102,Surgery,True,True,1.0,not first-line month
103,Targeted,True,True,1.0,EGFR/ALK not eligible
103,Immuno,True,True,1.0,PD-L1 < 1%
104,Targeted,True,True,1.0,EGFR/ALK not eligible
104,Immuno,True,True,1.0,PD-L1 < 1%
105,Targeted,True,True,1.0,EGFR/ALK not eligible
105,Immuno,True,True,1.0,PD-L1 < 1%
106,Targeted,True,True,1.0,EGFR/ALK not eligible
106,Immuno,True,True,1.0,PD-L1 < 1%
107,Targeted,True,True,1.0,EGFR/ALK not eligible
107,Immuno,True,True,1.0,PD-L1 < 1%
108,Targeted,True,False,1.0,allowed
108,Immuno,True,False,1.0,allowed
108,Chemo,True,False,1.0,ECOG/perf_status > 2
108,Surgery,True,True,1.0,ECOG/perf_status > 2
109,Targeted,True,False,1.0,allowed
109,Immuno,True,False,1.0,allowed
109,Chemo,True,False,1.0,ECOG/perf_status > 2
109,Surgery,True,True,1.0,not first-line month
110,Targeted,True,False,1.0,allowed
110,Immuno,True,False,1.0,allowed
110,Chemo,True,False,1.0,ECOG/perf_status > 2
110,Surgery,True,True,1.0,not first-line month
111,Targeted,True,False,1.0,allowed
111,Immuno,True,True,1.0,PD-L1 < 1%
111,Chemo,True,False,1.0,ECOG/perf_status > 2
111,Surgery,True,True,1.0,ECOG/perf_status > 2
112,Targeted,True,False,1.0,allowed
112,Immuno,True,True,1.0,PD-L1 < 1%
112,Chemo,True,False,1.0,ECOG/perf_status > 2
112,Surgery,True,True,1.0,not first-line month
113,Targeted,True,False,1.0,allowed
